Reviewer,Date of Review,Name,Giant Bomb Score
Jeff,2009-04-07 19:00:00,WarioWare: Snapped!,3
Ryan,2009-04-09 20:00:00,Puzzle Quest: Galactrix,3
Jeff,2009-04-13 13:00:00,Wheelman,3
Ryan,2009-04-13 17:00:00,The Godfather II,3
Dave,2009-04-16 11:00:00,Company of Heroes: Tales of Valor,3
Jeff,2009-04-22 15:00:00,Lode Runner,4
Ryan,2009-04-22 15:00:00,Excitebots: Trick Racing,4
Brad,2009-04-22 13:00:00,Demigod,3
Jeff,2009-04-26 20:00:00,Ninja Blade,2
Brad,2009-04-27 15:00:00,Zeno Clash,4
Dave,2009-04-30 16:00:00,Cryostasis,4
Ryan,2009-05-04 18:00:00,X-Men Origins: Wolverine,3
Jeff,2009-05-06 16:00:00,Space Invaders Extreme,4
Jeff,2009-05-11 10:00:00,Klonoa: Door to Phantomile,4
Ryan,2009-05-13 15:00:00,Patapon 2,4
Brad,2009-05-15 17:00:00,Velvet Assassin,1
Jeff,2009-05-17 23:00:00,Bionic Commando,4
Ryan,2009-05-19 08:00:00,Punch-Out!!,5
Jeff,2009-05-19 16:00:00,UFC 2009 Undisputed,4
Brad,2009-05-19 17:00:00,Art Style: PiCTOBiTS,4
Dave,2009-05-20 16:00:00,Battlestations: Pacific,3
Jeff,2009-05-21 16:00:00,Star Trek: D-A-C,2
Ryan,2009-05-21 20:00:00,Terminator Salvation,3
Brad,2009-05-22 18:00:00,inFamous,5
Jeff,2009-05-26 17:00:00,Raiden Fighters Aces,3
Ryan,2009-05-30 14:00:00,Boom Blox Bash Party,4
Jeff,2009-06-09 12:00:00,Red Faction: Guerrilla,4
Brad,2009-06-10 18:00:00,Prototype,4
Ryan,2009-06-17 13:00:00,Rock Band Unplugged,3
Jeff,2009-06-18 16:00:00,Rocket Riot,4
Ryan,2009-06-19 11:00:00,Ghostbusters: The Video Game,3
Brad,2009-06-19 16:00:00,The Legendary Starfy,3
Jeff,2009-06-19 17:00:00,Sam & Max Save the World,4
Jeff,2009-06-23 15:00:00,Fight Night Round 4,4
Jeff,2009-06-25 17:00:00,Guitar Hero: Smash Hits,3
Jeff,2009-06-30 15:00:00,The Conduit,2
Brad,2009-07-01 16:00:00,Transformers: Revenge of the Fallen,3
Ryan,2009-07-07 17:00:00,Tales of Monkey Island Chapter 1: Launch of the Screaming Narwhal,4
Brad,2009-07-08 21:00:00,Trine,5
Ryan,2009-07-11 11:00:00,The Sims 3,4
Jeff,2009-07-13 12:00:00,Call of Juarez: Bound in Blood,3
Brad,2009-07-13 21:00:00,Battlefield 1943,4
Jeff,2009-07-21 18:00:00,BlazBlue: Calamity Trigger,3
Ryan,2009-07-21 19:00:00,The Secret of Monkey Island,4
Jeff,2009-07-22 17:00:00,Wii Sports Resort,5
Jeff,2009-07-27 15:00:00,Shatter,4
Jeff,2009-07-29 18:00:00,Marvel vs. Capcom 2: New Age of Heroes,4
Brad,2009-07-30 21:00:00,'Splosion Man,4
Jeff,2009-08-04 13:00:00,The King of Fighters XII,3
Ryan,2009-08-05 15:00:00,Fallout 3,3
Brad,2009-08-07 16:00:00,Teenage Mutant Ninja Turtles: Turtles in Time Re-Shelled,2
Brad,2009-08-10 14:00:00,Fat Princess,4
Jeff,2009-08-10 13:00:00,G.I. Joe: The Rise of Cobra,1
Jeff,2009-08-17 06:00:00,Shadow Complex,5
Jeff,2009-08-18 15:00:00,Wolfenstein,4
Brad,2009-08-25 17:00:00,Professor Layton and the Diabolical Box,4
Jeff,2009-09-01 15:00:00,Batman: Arkham Asylum,5
Ryan,2009-09-04 07:00:00,Guitar Hero 5,4
Ryan,2009-09-09 18:00:00,The Beatles: Rock Band,5
Jeff,2009-09-11 13:00:00,Section 8,3
Jeff,2009-09-15 15:00:00,Need for Speed: SHIFT,3
Jeff,2009-09-18 12:00:00,WET,3
Ryan,2009-09-18 14:00:00,Marvel Ultimate Alliance 2,4
Jeff,2009-09-19 21:00:00,Halo 3: ODST,4
Brad,2009-09-21 15:00:00,Scribblenauts,3
Drew,2009-09-23 11:00:00,DiRT 2,5
Brad,2009-09-23 17:00:00,Trials HD,4
Jeff,2009-09-25 17:00:00,Pinball Hall of Fame: The Williams Collection,4
Ryan,2009-09-28 21:00:00,Muramasa: The Demon Blade,4
Brad,2009-09-29 18:00:00,Dead Space Extraction,3
Jeff,2009-09-30 12:00:00,Zombie Apocalypse,2
Jeff,2009-10-02 16:00:00,Katamari Forever,4
Brad,2009-10-12 17:00:00,Uncharted 2: Among Thieves,5
Ryan,2009-10-12 11:00:00,SAW,3
Vinny,2009-10-12 15:00:00,Lucidity,3
Ryan,2009-10-13 21:00:00,Brütal Legend,3
Jeff,2009-10-14 16:00:00,Forza Motorsport 3,5
Brad,2009-10-16 17:00:00,South Park Let's Go Tower Defense Play!,4
Jeff,2009-10-19 09:00:00,Borderlands,4
Ryan,2009-10-23 11:00:00,A Boy and His Blob,4
Jeff,2009-10-23 15:00:00,WWE SmackDown! vs. RAW 2010,3
Vinny,2009-10-23 15:00:00,Ratchet & Clank Future: A Crack in Time,5
Jeff,2009-10-27 18:00:00,DJ Hero,4
Brad,2009-11-02 15:00:00,Mario & Luigi: Bowser's Inside Story,5
Dave,2009-11-03 00:00:00,Dragon Age: Origins,5
Brad,2009-11-04 13:00:00,Torchlight,4
Ryan,2009-11-03 16:00:00,Grand Theft Auto IV,3
Jeff,2009-11-03 18:00:00,Tekken 6: Bloodline Rebellion,3
Jeff,2009-11-04 22:00:00,Band Hero,3
Ryan,2009-11-05 19:00:00,Rabbids Go Home: A Comedy Adventure,4
Jeff,2009-11-10 00:00:00,Modern Warfare 2,5
Jeff,2009-11-12 17:00:00,Grand Theft Auto: Chinatown Wars,5
Ryan,2009-11-13 15:00:00,LEGO Rock Band,3
Jeff,2009-11-15 19:00:00,New Super Mario Bros. Wii,4
Brad,2009-11-17 13:00:00,Left 4 Dead 2,4
